date	prefix	url	message	context
2022-09-15	sio	https://www.ebi.ac.uk/ols/ontologies/sio/terms?short_form=000912	HTTP 404	404
2022-09-15	sisu	http://search.sisuproject.fi/#/variant/17:41223048	SSLError	HTTPSConnectionPool(host='search.sisuproject.fi', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))
2022-09-15	sitex	http://www-bionet.sscc.ru/sitex/index.php?siteid=1000	HTTP 403	403
2022-09-15	slkbase	https://sumlineknowledgebase.com/?page_id=3618	HTTP 406	406
2022-09-15	soybase	http://www.soybase.org/sbt/search/search_results.php?category=SNP&search_term=BARC-013845-01256	ConnectionError	HTTPConnectionPool(host='www.soybase.org', port=80): Max retries exceeded with url: /sbt/search/search_results.php?category=SNP&search_term=BARC-013845-01256 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11f955910>: Failed to establish a new connection: [Errno 61] Connection refused'))
2022-09-15	stap	http://psb.kobic.re.kr/STAP/refinement1/result.php?search=1a24	ConnectTimeout	HTTPConnectionPool(host='psb.kobic.re.kr', port=80): Max retries exceeded with url: /STAP/refinement1/result.php?search=1a24 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x11f908d30>, 'Connection to psb.kobic.re.kr timed out. (connect timeout=15)'))
2022-09-15	string	http://string.embl.de/interactions/P53350	HTTP 404	404
2022-09-15	swo	http://purl.obolibrary.org/obo/SWO_0000144	HTTP 404	404
2022-09-15	tkg	http://www2.idac.tohoku.ac.jp/dep/ccr/TKGdate/TKGvol08/0221.html	HTTP 404	404
2022-09-15	ttd.drug	http://bidd.nus.edu.sg/group/TTD/ZFTTDDRUG.asp?ID=DAP000773	ConnectTimeout	HTTPConnectionPool(host='bidd.nus.edu.sg', port=80): Max retries exceeded with url: /group/TTD/ZFTTDDRUG.asp?ID=DAP000773 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x11f9199d0>, 'Connection to bidd.nus.edu.sg timed out. (connect timeout=15)'))
2022-09-15	ttd.target	http://bidd.nus.edu.sg/group/TTD/ZFTTDDetail.asp?ID=TTDS00056	ConnectTimeout	HTTPConnectionPool(host='bidd.nus.edu.sg', port=80): Max retries exceeded with url: /group/TTD/ZFTTDDetail.asp?ID=TTDS00056 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x11efccbb0>, 'Connection to bidd.nus.edu.sg timed out. (connect timeout=15)'))
