prefix	name	homepage	description	uri_format
P12179	Flora of the Southeastern United States ID	https://fsus.ncbg.unc.edu/main.php?pg=index.php	identifier for a plant taxon in the Flora of the Southeastern United States database	https://fsus.ncbg.unc.edu/main.php?pg=show-taxon.php&taxonid=$1
P12180	PAEnflowered taxon URL	https://www.paenflowered.org/	URL for a plant taxon found in Pennsylvania on the PAEnflowered website	
P12181	Digital Atlas of the Virginia Flora ID	https://vaplantatlas.org/index.php	identifier for a plant species, subspecies, or variety in the Digital Atlas of the Virginia Flora	https://vaplantatlas.org/index.php?do=plant&plant=$1
P12182	Go Botany taxon ID	https://gobotany.nativeplanttrust.org/	identifier for a vascular plant taxon in New England on the Go Botany website	https://gobotany.nativeplanttrust.org/$1/
P12183	Search System of Japanese Red Data ID	http://jpnrdb.com	identifier for species and subspecies of the flora and fauna of Japan in the Search System of Japanese Red Data	http://jpnrdb.com/database/taxon/detail/$1
P12209	The Plant List ID (Arizona Native Plant Society)	https://aznps.com/the-plant-list	identifier for a native plant species, subspecies, or variety in The Plant List from the Arizona Native Plant Society	https://wikidata-externalid-url.toolforge.org/?p=12209&url_prefix=https://aznps.com/the-plant-list/?species=&id=$1
P12218	TaiCOL ID (new version)	https://taicol.tw	identifier for taxa of the biota of Taiwan in the new version of the Catalogue of Life in Taiwan	https://taicol.tw/taxon/$1
P12224	BUGZ ID	https://bugz.ento.org.nz/	identifier for an article in the Bibliography of New Zealand Terrestrial Invertebrates 1775-1993	https://bugz.ento.org.nz/detail/$1
P12234	ORBi article ID	https://orbi.uliege.be/	unique identifier for a scientific article referenced on the University of Liège's institutional repository	https://orbi.uliege.be/handle/2268/$1
P12270	Flora of the Hawaiian Islands URL	https://naturalhistory2.si.edu/botany/hawaiianflora/index.htm	URL of the entry for a plant genus, species, subspecies, or variety in the Flora of the Hawaiian Islands website	
P12271	MilliBase taxon ID	https://millibase.org	identifier for a Diplopoda (millipede) or parent taxon in the MilliBase database	https://millibase.org/aphia.php?p=taxdetails&id=$1
P12273	Montana Plant Life URL	http://montana.plant-life.org/index.html	URL for a plant family, genus, or species on the Montana Plant Life website	
P12278	Mid-Atlantic Herbaria Consortium taxon ID	https://midatlanticherbaria.org/portal/index.php	identifier for a plant taxon in the Mid-Atlantic Herbaria Consortium database	https://midatlanticherbaria.org/portal/taxa/index.php?tid=$1
P12292	Biota of New Zealand ID	https://biotanz.landcareresearch.co.nz	identifier for a taxon in the Biota of New Zealand database	https://biotanz.landcareresearch.co.nz/scientific-names/$1
P12293	Consortium of Bryophyte Herbaria taxon ID	https://bryophyteportal.org/portal	identifier for a bryophyte taxon in the Consortium of Bryophyte Herbaria gateway	https://bryophyteportal.org/portal/taxa/index.php?taxon=$1
P12294	Consortium of Lichen Herbaria taxon ID	https://lichenportal.org/portal/index.php	identifier for a lichen taxon in the Consortium of Lichen Herbaria database	https://lichenportal.org/portal/taxa/index.php?taxon=$1
P12295	Native Plants Hawaii ID	http://nativeplants.hawaii.edu	identifier for a taxon on the Native Plants Hawaii website	http://nativeplants.hawaii.edu/plant/view/$1/
P12296	SERNEC taxon ID	https://sernecportal.org/portal	identifier for a plant taxon in the SERNEC data portal	https://sernecportal.org/portal/taxa/index.php?tid=$1
P12297	TORCH taxon ID	https://portal.torcherbaria.org/portal/index.php	identifier for a plant taxon in the TORCH Data Portal	https://portal.torcherbaria.org/portal/taxa/index.php?tid=$1
P12298	Penstemon Database ID	https://wolfelab.asc.ohio-state.edu/database.php	identifier for a penstemon species or variety in the Penstemon Database	https://wolfelab.asc.ohio-state.edu/database/$1.php
P12336	Encyclopedia of Cacti species ID	https://www.llifle.com/Encyclopedia/CACTI/Species/all/	identifier for a species, subspecies, variety, form, or cultivar of cactus in the Encyclopedia of Cacti	https://www.llifle.com/Encyclopedia/CACTI/Family/Cactaceae/$1/
P12339	Académie de Stanislas member ID			https://www.academie-stanislas.org/$1
P12357	BindingDB ID	https://www.bindingdb.org	ID of a chemical compound in BindingDB	https://www.bindingdb.org/bind/chemsearch/marvin/MolStructure.jsp?monomerid=$1
P12367	Plant Illustrations taxon ID	http://plantillustrations.org/	identifier for a taxon other than species on the Plant Illustrations website	http://plantillustrations.org/taxa.php?id_taxon=$1
P12368	Plant Illustrations species ID	http://plantillustrations.org/	identifier for a species on the Plant Illustrations website	http://plantillustrations.org/species.php?id_species=$1
P12374	HbVar ID	https://globin.bx.psu.edu/hbvar/hbvar.html	identifier of a hemoglobin variant or thalassemia-causing mutation on the HbVar database website	https://globin.bx.psu.edu/cgi-bin/hbvar/query_vars3?mode=output&display_format=page&i=$1
P12380	Euro+Med PlantBase taxon ID	https://www.europlusmed.org	identifier for a plant taxon in the Euro+Med PlantBase	https://www.europlusmed.org/cdm_dataportal/taxon/$1
P12390	China Animal Scientific Database ID	http://www.zoology.csdb.cn	identifier for an animal taxon of China in the China Animal Scientific Database (.../dbb/...)	http://www.zoology.csdb.cn/dbb/$1
P12403	Plants of Hawaiʻi ID		identifier for a taxon on the Plants of Hawaiʻi website	https://plantsofhawaii.org/detail/{$1}
P12405	PteridoPortal taxon ID	https://www.pteridoportal.org/portal/index.php	identifier for a taxon on the PteridoPortal	https://www.pteridoportal.org/portal/taxa/index.php?taxon=$1
P12432	age of onset of sexual maturity		point in time after which an individual attains the ability to reproduce sexually	
P12444	Mindat taxon ID		ID of fossil taxa in Mindat.org database	https://www.mindat.org/taxon-$1.html
P12445	China Animal Scientific Database taxon UUID	http://www.zoology.csdb.cn	identifier for an animal taxon of China in the China Animal Scientific Database (.../taxon/...)	http://www.zoology.csdb.cn/taxon/{$1}
P12453	Great Plains Herbaria taxon ID	https://ngpherbaria.org/portal/	identifier for a plant taxon on the Great Plains Regional Herbarium Network website	https://ngpherbaria.org/portal/taxa/index.php?taxon=$1
P12464	JSTOR Global Plants type specimen ID	https://plants.jstor.org/	identifier for the type specimen of a plant taxon, in JSTOR Global Plants	https://plants.jstor.org/stable/10.5555/al.ap.specimen.$1
P12515	OHDSI ID	https://athena.ohdsi.org/search-terms/start	identifier for a medical-related concept in the Athena vocabulary, run by OHDSI	https://athena.ohdsi.org/search-terms/terms/$1
P12517	Consortium of Midwest Herbaria taxon ID	https://midwestherbaria.org/portal/index.php	identifier for a plant taxon on the Consortium of Midwest Herbaria website	https://midwestherbaria.org/portal/taxa/index.php?taxon=$1
P12554	CalPhotos taxon ID	https://calphotos.berkeley.edu	identifier for a plant, animal, or fossil species or subspecies on the CalPhotos website	https://wikidata-externalid-url.toolforge.org/?p=12554&url_prefix=https://calphotos.berkeley.edu/cgi/img_query?where-taxon=&id=$1
P12560	ASM Mammal Diversity Database ID	https://www.mammaldiversity.org	identifier for a mammal species in the American Society of Mammalogists Mammal Diversity Database	https://www.mammaldiversity.org/taxon/$1
