word	idf	rf_importance	lr_importance
simple	5.6454	0.0002	0.3371
sprsound	9.2698	0.0002	0.1771
active	6.0711	0.0002	0.0596
anthroponumbers	9.2698	0.0002	0.1493
targeted	6.2993	0.0002	-0.0315
graphical	6.0311	0.0002	0.266
systematic	5.1187	0.0002	0.0655
quadratlas	9.2698	0.0002	0.1476
topological	8.5766	0.0002	-0.2642
biopharmaceutical	8.8643	0.0002	0.1692
nikkajirdf	9.2698	0.0002	0.1072
musa	8.5766	0.0002	0.1435
hypertension	6.6671	0.0002	0.0334
phenotyping	7.3238	0.0002	-0.1616
ferroptosis	9.2698	0.0002	0.1586
termini	8.5766	0.0002	0.2164
chebi	6.9672	0.0002	0.4158
tags	8.1711	0.0002	0.2119
readiness	8.017	0.0002	0.1531
required	6.0711	0.0002	0.2011
spanish	6.9672	0.0002	-0.323
ray	7.0185	0.0002	0.201
phytophthora	8.3535	0.0002	0.0998
incidence	5.6588	0.0002	-0.2749
useful	5.7002	0.0002	0.2666
imaging	6.4664	0.0002	0.2651
renal	6.352	0.0002	-0.2639
allergy	7.6603	0.0002	-0.2982
inborn	8.8643	0.0002	0.1324
dissemination	6.7849	0.0002	0.1652
obstetric	8.017	0.0002	0.1298
carbon	6.6307	0.0002	-0.209
microscopy	7.0725	0.0002	0.1509
theobromae	9.2698	0.0002	0.1007
bevacizumab	9.2698	0.0002	-0.1964
alignments	5.804	0.0002	0.2696
judging	8.8643	0.0002	0.2746
eco	7.3238	0.0002	0.252
parts	6.7849	0.0002	0.2096
maintained	6.1128	0.0002	0.1835
topfind	8.5766	0.0002	0.1895
compared	5.7885	0.0002	-0.1946
interlinking	9.2698	0.0002	0.1072
improvement	5.6191	0.0002	-0.2035
glycoscience	9.2698	0.0002	0.1501
ncbi	5.5441	0.0002	0.588
associations	5.7144	0.0002	0.2403
quadruplexes	9.2698	0.0002	0.1931
depict	8.5766	0.0002	0.1275
prevention	6.6671	0.0002	-0.3346
korean	6.3794	0.0002	-0.22
administrative	5.9376	0.0002	-0.3236
pfam	6.9184	0.0002	0.5744
musargenedb	9.2698	0.0002	0.1485
